country,zipcode,latitude,longitude
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,null,30.7722959,-86.5596896
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,Null,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,NA,39.9361,-75.1563
US,null,27.6648274,-81.5157535
US,NA,42.4096,-72.1083
US,null,30.4369795,-87.2360002
US,NA,42.4096,-72.1083
US,null,0,0
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,null,30.4683514,-87.3086606
US,NA,42.4096,-72.1083
US,null,30.4317868,-87.2888553
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,N/A,40.6331249,-89.3985283
US,TBD6,40.6331249,-89.3985283
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,1,38.5688753,-121.3376427
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,7652,40.9146767,-74.0575921
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,NA,39.9361,-75.1563
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,98021��,47.7918,-122.2243
US,94158��,37.7693,-122.3867
US,63376 At this address,38.7802,-90.6227
US,5903,44.976436,-71.61051
US,012345,44.0858262,-70.0089256
US,731161298,35.5391714,-97.5129219
US,J0N1E0,45.4608725,-74.0877445
US,765421654,31.0979768,-97.7525777
US,J7K2N4,45.7536403,-73.5983049
US,J4Y1A2,45.4562884,-73.4643181
US,783903021,27.9744542,-97.387155
US,J8E3H7,46.1212891,-74.5946965
US,786544318,30.5891473,-98.2729667
US,785739334,26.2433091,-98.2727939
US,303492743,33.6010068,-84.5281169
US,068306512,41.023724,-73.6261403
US,Null,42.4096,-72.1083
US,J4P1A7,45.5021787,-73.5161585
US,J7A3R8,45.6340686,-73.8184489
US,V9L3T9,48.7785379,-123.7050172
US,B0C1K0,46.69105,-60.37932
US,402195390,38.1289109,-85.6807672
US,Null,42.4096,-72.1083
US,J7J1L4,45.7030156,-73.9308824
US,330716026,26.2511726,-80.2524749
US,R5T0H2,49.8437392,-96.9884872
US,300603759,33.9043507,-84.4914087
US,281642015,35.3549405,-81.0942204
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,M4C1L3,43.688396,-79.3013907
US,441113172,41.4536533,-81.7998427
US,J0T1T0,46.4133806,-74.8723789
US,S0G2K0,50.5372601,-103.6768591
US,H1W1P2,45.5407482,-73.5470652
US,351501627,33.1867611,-86.2427504
US,171111817,40.2585263,-76.8315973
US,Null,42.4096,-72.1083
US,012345,46.8054947,-100.7876931
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,11201 ,40.694,-73.9903
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,98102��,47.6302,-122.3209
US,98102��,47.6302,-122.3209
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,9576,46.8901025,-122.6826068
US,7466,33.9187252,-118.1231717
US,null,30.0012435,-90.151398
US,TBD,42.4096,-72.1083
US,282123611,35.2030451,-80.7583779
CA,N6M 1,42.9992505,-81.1418837
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,2879,41.4326082,-71.4972792
US,2882,41.4300629,-71.4828551
US,EC3M 7AF,0,0
CA,L4B 4,43.873908,-79.3854519
CA,L4B 4,43.873908,-79.3854519
US,TBD,42.4096,-72.1083
CA,L4B 4,43.873908,-79.3854519
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,671 61,48.8888443,16.158204
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,8034,39.9177333,-74.9711977
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,405011,39.3399487,-84.6230207
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,1420,42.5681023,-71.7847484
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,411014,41.2033216,-77.1945247
US,TBD,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
CA,"",33.0198,-96.9925
US,"",34.0793,-117.4551
US,98005 ,47.6149,-122.1662
US,02466 ,42.344,-71.248
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,NA,42.4096,-72.1083
US,334413537,26.3184123,-80.0997657
CA,ON N1R 7L3,43.4094072,-80.3168584
US,19111 ,40.0596,-75.0817
US,TBD,42.4096,-72.1083
US,N/A,42.4096,-72.1083
US,N/A,42.4096,-72.1083
US,N/A,42.4096,-72.1083
US,N/A,42.4096,-72.1083
US,6120,41.7893154,-72.678668
US,N/A,42.4096,-72.1083
US,6120,41.7574283,-72.6848538
US,N/A,42.4096,-72.1083
US,"10038, 10005, 10002",40.7213854,-73.9939529
US,33966 ,26.5823,-81.832
US,49022 ,42.1085,-86.4234
US,92081  ,33.1643,-117.2402
US,NA,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,Null,42.4096,-72.1083
US,"",34.0244,-118.1974
US,NDOB,42.4096,-72.1083
US,Null,42.4096,-72.1083
